Город;Отдел;Дата;Категория;Продажи;Производство;Питание персонала;Отмена;Брак
Ставрополь;Ставрополь-4;09.09.2025;Ингредиент;63833,27;4649,26;1127,01;405,83;658,29
Ставрополь;Ставрополь-4;09.09.2025;Упаковка;5504,15;0,00;74,89;41,11;67,64
Ставрополь;Ставрополь-4;10.09.2025;Ингредиент;63325,70;5551,18;1310,28;9,68;651,58
Ставрополь;Ставрополь-4;10.09.2025;Упаковка;6093,38;0,00;57,84;8,87;69,27
Ставрополь;Ставрополь-4;11.09.2025;Ингредиент;84507,28;4634,09;1644,52;0,00;323,10
Ставрополь;Ставрополь-4;11.09.2025;Упаковка;7650,59;0,00;100,07;0,00;33,69
Ставрополь;Ставрополь-4;12.09.2025;Ингредиент;84147,05;6468,07;1572,44;101,02;230,80
Ставрополь;Ставрополь-4;12.09.2025;Упаковка;7884,25;0,00;114,70;2,83;19,30
Ставрополь;Ставрополь-4;13.09.2025;Ингредиент;73194,30;6791,04;1134,91;449,36;1081,54
Ставрополь;Ставрополь-4;13.09.2025;Упаковка;7078,29;0,00;62,39;51,45;116,60
Ставрополь;Ставрополь-4;14.09.2025;Ингредиент;60493,09;4937,62;1550,48;0,00;69,84
Ставрополь;Ставрополь-4;14.09.2025;Упаковка;5689,33;0,00;91,93;0,00;7,05
Ставрополь;Ставрополь-5;01.09.2025;Ингредиент;131620,44;12509,25;1240,85;0,00;0,00
Ставрополь;Ставрополь-5;01.09.2025;Упаковка;13039,50;0,00;51,86;0,00;0,00
Ставрополь;Ставрополь-5;02.09.2025;Ингредиент;64047,89;8461,83;1048,70;0,00;301,13
Ставрополь;Ставрополь-5;02.09.2025;Упаковка;6047,70;0,00;50,50;0,00;23,32
Ставрополь;Ставрополь-5;03.09.2025;Ингредиент;54425,23;9594,71;1168,85;0,00;579,22
Ставрополь;Ставрополь-5;03.09.2025;Упаковка;5210,35;0,00;54,85;0,00;55,50
Ставрополь;Ставрополь-5;04.09.2025;Ингредиент;59109,18;6505,88;1086,53;444,93;219,21
Ставрополь;Ставрополь-5;04.09.2025;Упаковка;5376,08;0,00;67,56;29,10;23,32
Ставрополь;Ставрополь-5;05.09.2025;Ингредиент;85568,70;7513,57;1958,08;0,00;611,69
Ставрополь;Ставрополь-5;05.09.2025;Упаковка;8155,54;0,00;118,88;0,00;58,90
Ставрополь;Ставрополь-5;06.09.2025;Ингредиент;100451,58;2773,29;1455,90;0,00;687,87
Ставрополь;Ставрополь-5;06.09.2025;Упаковка;9817,67;0,00;66,27;0,00;71,24
Ставрополь;Ставрополь-5;07.09.2025;Ингредиент;82716,00;11393,74;1877,46;0,00;591,37
Ставрополь;Ставрополь-5;07.09.2025;Упаковка;7737,78;0,00;72,67;0,00;78,51
Ставрополь;Ставрополь-5;08.09.2025;Ингредиент;52265,69;3665,02;911,30;131,89;226,55
Ставрополь;Ставрополь-5;08.09.2025;Упаковка;4973,50;0,00;42,69;18,99;27,50
Ставрополь;Ставрополь-5;09.09.2025;Ингредиент;60804,13;11793,17;1131,52;574,02;335,91
Ставрополь;Ставрополь-5;09.09.2025;Упаковка;5843,23;0,00;59,49;45,42;39,97
Ставрополь;Ставрополь-5;10.09.2025;Ингредиент;70610,08;3694,84;974,40;0,00;0,00
Ставрополь;Ставрополь-5;10.09.2025;Упаковка;6801,20;0,00;46,14;0,00;0,00
Ставрополь;Ставрополь-5;11.09.2025;Ингредиент;63705,62;4738,45;1478,57;0,00;0,00
Ставрополь;Ставрополь-5;11.09.2025;Упаковка;5937,03;0,00;52,98;0,00;0,00
Ставрополь;Ставрополь-5;12.09.2025;Ингредиент;87920,98;7635,64;1754,19;0,00;523,48
Ставрополь;Ставрополь-5;12.09.2025;Упаковка;8858,29;0,00;86,42;0,00;43,21
Ставрополь;Ставрополь-5;13.09.2025;Ингредиент;100899,21;6626,87;1641,49;0,00;565,04
Ставрополь;Ставрополь-5;13.09.2025;Упаковка;10338,90;0,00;96,70;0,00;76,94
Ставрополь;Ставрополь-5;14.09.2025;Ингредиент;79083,67;6749,14;1465,74;484,84;299,02
Ставрополь;Ставрополь-5;14.09.2025;Упаковка;7857,25;0,00;68,87;41,11;23,32
Тимашевск;Тимашевск-1;01.09.2025;Ингредиент;84594,15;0,00;1529,72;0,00;0,00
Тимашевск;Тимашевск-1;01.09.2025;Упаковка;7284,59;0,00;104,68;0,00;0,00
Тимашевск;Тимашевск-1;02.09.2025;Ингредиент;32347,42;2199,73;1156,11;0,00;0,00
Тимашевск;Тимашевск-1;02.09.2025;Упаковка;2754,32;0,00;63,69;0,00;0,00
Тимашевск;Тимашевск-1;03.09.2025;Ингредиент;39978,11;0,00;890,12;0,00;0,00
Тимашевск;Тимашевск-1;03.09.2025;Упаковка;3581,48;0,00;39,95;0,00;0,00
Тимашевск;Тимашевск-1;04.09.2025;Ингредиент;33427,05;5048,17;1183,83;171,03;0,00
Тимашевск;Тимашевск-1;04.09.2025;Упаковка;2962,30;0,00;57,76;32,58;0,00
Тимашевск;Тимашевск-1;05.09.2025;Ингредиент;54811,71;2173,09;1151,24;0,00;0,00
Тимашевск;Тимашевск-1;05.09.2025;Упаковка;4674,51;0,00;41,66;0,00;0,00
Тимашевск;Тимашевск-1;06.09.2025;Ингредиент;51985,42;0,00;1116,16;0,00;0,00
Тимашевск;Тимашевск-1;06.09.2025;Упаковка;4443,94;0,00;57,94;0,00;0,00
Тимашевск;Тимашевск-1;07.09.2025;Ингредиент;44986,05;4336,03;1346,45;0,00;0,00
Тимашевск;Тимашевск-1;07.09.2025;Упаковка;3737,94;0,00;96,65;0,00;0,00
Тимашевск;Тимашевск-1;08.09.2025;Ингредиент;34530,71;5762,48;1121,63;0,00;0,00
Тимашевск;Тимашевск-1;08.09.2025;Упаковка;2913,39;0,00;59,16;0,00;0,00
Тимашевск;Тимашевск-1;09.09.2025;Ингредиент;29481,64;0,00;863,11;0,00;0,00
Тимашевск;Тимашевск-1;09.09.2025;Упаковка;2446,43;0,00;80,42;0,00;0,00
Тимашевск;Тимашевск-1;10.09.2025;Ингредиент;41581,05;0,00;1145,50;0,00;0,00
Тимашевск;Тимашевск-1;10.09.2025;Упаковка;3602,38;0,00;68,76;0,00;0,00
Тимашевск;Тимашевск-1;11.09.2025;Ингредиент;37825,04;0,00;1308,79;54,58;0,00
Тимашевск;Тимашевск-1;11.09.2025;Упаковка;3237,71;0,00;58,33;6,45;0,00
Тимашевск;Тимашевск-1;12.09.2025;Ингредиент;57184,65;4797,18;1050,44;449,12;0,00
Тимашевск;Тимашевск-1;12.09.2025;Упаковка;5088,17;0,00;77,12;52,53;0,00
Тимашевск;Тимашевск-1;13.09.2025;Ингредиент;55493,86;2170,02;1171,70;112,92;76,17
Тимашевск;Тимашевск-1;13.09.2025;Упаковка;4870,24;0,00;61,21;14,15;2,82
Тимашевск;Тимашевск-1;14.09.2025;Ингредиент;48147,47;0,00;1039,01;409,59;0,00
Тимашевск;Тимашевск-1;14.09.2025;Упаковка;3883,03;0,00;65,62;40,01;0,00
